共 405 题
1. [单] 依据配电安规，（ ）及电容器接地前应逐相充分放电。 || 选:避雷器 / 电缆 / 导线 / 变压器 || 答:B
137. [判] 依据配电安规，除填写方式、打印份数外，数字化工作票的填写、使用要求与纸质工作票一致。（ ） || 选:正确 / 错误 || 答:正确
138. [判] 依据配电安规，当验明确已无电压后，应立即将检修的高压配电线路和设备接地并三相短路，工作地段各端和工作地段内有可能反送电的各分支线不必都接地。（ ） || 选:正确 / 错误 || 答:错误
139. [判] 依据配电安规，低［电］压：用于配电的交流系统中1000V以下的电压等级。（ ） || 选:正确 / 错误 || 答:错误
140. [判] 依据配电安规，低压开关（熔丝）拉开（取下）后，应在适当位置悬挂“禁止合闸，有人工作！”或“禁止合闸，线路有人工作！”标示牌。（ ） || 选:正确 / 错误 || 答:正确
141. [判] 依据配电安规，低压配电工作，不需要将低压线路、设备停电或做安全措施者，填用低压工作票。（ ） || 选:正确 / 错误 || 答:错误
142. [判] 依据配电安规，低压配电线路和设备停电后，检修或装表接电前，应在与停电检修部位或与表计电气上直接相连的可验电部位验电。（ ） || 选:正确 / 错误 || 答:正确
143. [判] 依据配电安规，电缆孔洞应用防水材料严密封堵。（ ） || 选:正确 / 错误 || 答:错误
144. [判] 依据配电安规，电力安全工器具经预防性试验合格后，应在醒目的部位粘贴“合格证”标签或电子标签。（ ） || 选:正确 / 错误 || 答:错误
145. [判] 依据配电安规，电力安全工器具应由具有资质的安全工器具检测机构（中心）进行检验。（ ） || 选:正确 / 错误 || 答:正确
146. [判] 依据配电安规，对同一个工作日的多条低压配电线路或设备上的工作，可使用一张低压工作票。（ ） || 选:正确 / 错误 || 答:错误
147. [判] 依据配电安规，多小组工作，工作负责人在与工作许可人办理工作终结手续前，应得到主要小组负责人工作结束的汇报。（ ） || 选:正确 / 错误 || 答:错误
148. [判] 依据配电安规，辅助型绝缘手套作业时，应将上衣袖口套入绝缘手套筒口内。（ ） || 选:正确 / 错误 || 答:正确
149. [判] 依据配电安规，杆塔无接地引下线时，可采用截面积大于190mm²（如φ16mm圆钢）、地下深度大于0.6m的临时接地体。（ ） || 选:正确 / 错误 || 答:正确
150. [判] 依据配电安规，高低压配电室、开关站部分停电检修或新设备安装，应在工作地点两旁及对侧运行设备间隔的遮栏（围栏）上和不应通行的过道遮栏（围栏）上悬挂“在此工作！”标示牌。（ ） || 选:正确 / 错误 || 答:错误
151. [判] 依据配电安规，高压开关柜前后间隔没有可靠隔离的，工作时应同时停电。（ ） || 选:正确 / 错误 || 答:正确
152. [判] 依据配电安规，高压配电带电作业，填用配电带电作业工作票。（ ） || 选:正确 / 错误 || 答:正确
153. [判] 依据配电安规，高压配电站、开关站、箱式变电站、环网柜等高压配电设备应有防止误操作的闭锁装置。（ ） || 选:正确 / 错误 || 答:正确
154. [判] 依据配电安规，各工作许可人在发出许可下一步工作的命令前，应完成工作票所列由其负责的停电和装设接地线等安全措施，并向工作负责人逐项交待。（ ） || 选:正确 / 错误 || 答:正确
155. [判] 依据配电安规，工作地点应停电的线路和设备包括工作地段内有可能反送电的各分支线（包括用户）。（ ） || 选:正确 / 错误 || 答:正确
156. [判] 依据配电安规，工作地点应停电的线路和设备包括有可能从高压侧向低压侧反送电的设备。（ ） || 选:正确 / 错误 || 答:错误
157. [判] 依据配电安规，工作负责人、工作许可人、专责监护人应始终在工作现场。（ ） || 选:正确 / 错误 || 答:错误
158. [判] 依据配电安规，工作负责人发出开始工作的命令前，应在工作票上签名，记录开始工作时间。（ ） || 选:正确 / 错误 || 答:错误
159. [判] 依据配电安规，工作间断，工作班离开工作地点，若接地线保留不变，恢复工作前应重新验电、装设接地线。（ ） || 选:正确 / 错误 || 答:错误
160. [判] 依据配电安规，工作票、故障紧急抢修单应使用统一的票面格式，采用手工方式填写或计算机生成、打印。（ ） || 选:正确 / 错误 || 答:正确
161. [判] 依据配电安规，工作票签发人应由熟悉人员文化水平、熟悉配电网接线方式、熟悉设备情况、熟悉本文件，具有相关工作经验，并经本单位批准的人员担任，名单应公布。（ ） || 选:正确 / 错误 || 答:错误
162. [判] 依据配电安规，工作票由工作负责人和工作许可人填写。（ ） || 选:正确 / 错误 || 答:错误
163. [判] 依据配电安规，工作期间，工作负责人应始终持有工作票。（ ） || 选:正确 / 错误 || 答:正确
164. [判] 依据配电安规，工作许可人或工作负责人对有触电危险、检修（施工）复杂容易发生事故的工作，应增设专责监护人，并确定其监护的人员和工作范围。（ ） || 选:正确 / 错误 || 答:错误
165. [判] 依据配电安规，工作中若有特殊情况，工作许可人可变更运行接线方式和安全措施，变更后需告知工作负责人。（ ） || 选:正确 / 错误 || 答:错误
166. [判] 依据配电安规，柜式配电设备的母线侧封板应使用专用螺丝和工具，专用工具应妥善保存，柜内有电时，该封板不应开启。（ ） || 选:正确 / 错误 || 答:正确
167. [判] 依据配电安规，环网柜、电缆分支箱等箱式配电设备宜装设验电、接地装置。（ ） || 选:正确 / 错误 || 答:正确
168. [判] 依据配电安规，机具在运行中不应进行检修或调整。（ ） || 选:正确 / 错误 || 答:正确
169. [判] 依据配电安规，检修联络用的断路器（开关）、隔离开关（刀闸），应在其来电侧验电。（ ） || 选:正确 / 错误 || 答:错误
170. [判] 依据配电安规，检修线路、设备停电，应把工作地段内所有可能来电的负荷全部断开。（ ） || 选:正确 / 错误 || 答:错误
171. [判] 依据配电安规，接地线应接触良好、连接可靠，使用专用的线夹固定在导体上。（ ） || 选:正确 / 错误 || 答:正确
172. [判] 依据配电安规，接户、进户计量装置上的停电工作，可使用其他书面记录、电子信息或按口头、电话命令执行。（ ） || 选:正确 / 错误 || 答:错误
173. [判] 依据配电安规，进出配电站、开关站应随手关门。（ ） || 选:正确 / 错误 || 答:正确
174. [判] 依据配电安规，绝缘操作杆、验电器和测量杆使用时，人体应与带电设备保持足够的安全距离，操作者的手握部位不得越过护环，以保持有效的绝缘长度，并注意防止绝缘操作杆被人体或设备短接。（ ） || 选:正确 / 错误 || 答:正确
175. [判] 依据配电安规，绝缘操作杆、验电器和测量杆允许使用电压应与设备运行状况相符。（ ） || 选:正确 / 错误 || 答:错误
176. [判] 依据配电安规，绝缘导线的接地线应装设在验电接地环或其他验电接地装置上。（ ） || 选:正确 / 错误 || 答:正确
177. [判] 依据配电安规，可直接在地面操作的断路器（开关）、隔离开关（刀闸）的操作机构应悬挂“禁止合闸，有人工作！”或“禁止合闸，线路有人工作！”的标示牌。（ ） || 选:正确 / 错误 || 答:错误
178. [判] 依据配电安规，两台及以上配电变压器低压侧共用一个接地引下线时，其中任一台配电变压器停电检修，其他配电变压器也应停电。（ ） || 选:正确 / 错误 || 答:正确
179. [判] 依据配电安规，配电设备的操作机构上应有中文操作说明和状态指示。（ ） || 选:正确 / 错误 || 答:正确
180. [判] 依据配电安规，配电设备接地电阻应合格。（ ） || 选:正确 / 错误 || 答:正确
181. [判] 依据配电安规，配电线路、设备故障紧急抢修，填用工作票或配电故障紧急抢修单。（ ） || 选:正确 / 错误 || 答:正确
182. [判] 依据配电安规，配电站、开关站、箱式变电站的门应朝向内开。（ ） || 选:正确 / 错误 || 答:错误
183. [判] 依据配电安规，配电站、开关站的户外10kV高压配电线路、设备所在场所的行车通道上，车辆（包括装载物）外廓至无遮栏带电部分之间的安全距离为1.05m。（ ） || 选:正确 / 错误 || 答:错误
184. [判] 依据配电安规，配合停电的同杆（塔）架设线路装设接地线要求与检修线路相同。（ ） || 选:正确 / 错误 || 答:正确
185. [判] 依据配电安规，若线路上有人工作，在一经合闸即可送电到工作地点的断路器（开关）和隔离开关（刀闸）的操作处或机构箱门锁把手上及熔断器操作处应悬挂“禁止合闸，有人工作！”标示牌。（ ） || 选:正确 / 错误 || 答:错误
186. [判] 依据配电安规，使用登高板登杆前，应在杆根处对登高板进行冲击试验，确认登高板没有变形和损伤。（ ） || 选:正确 / 错误 || 答:正确
187. [判] 依据配电安规，使用脚扣登杆前，应在杆根处对脚扣进行一次冲击试验，确认脚扣无异常。（ ） || 选:正确 / 错误 || 答:正确
188. [判] 依据配电安规，特种作业人员参加工作前，应经专门的安全生产知识教育，考试合格，并经单位批准。（ ） || 选:正确 / 错误 || 答:错误
189. [判] 依据配电安规，停电时应拉开隔离开关（刀闸），手车开关应拉至试验或检修位置，使停电的线路和设备两端都有明显断开点。（ ） || 选:正确 / 错误 || 答:错误
190. [判] 依据配电安规，停电作业时，工作负责人在确保监护工作不受影响的条件下，可以参加工作班工作。（ ） || 选:正确 / 错误 || 答:错误
191. [判] 依据配电安规，通过传真送达的工作票，其工作许可手续应待正式工作票送达后履行。（ ） || 选:正确 / 错误 || 答:正确
192. [判] 依据配电安规，现场放置绝缘隔板时，应戴绝缘手套；如在隔离开关动、静触头之间放置绝缘隔板时，应使用绝缘操作杆。（ ） || 选:正确 / 错误 || 答:正确
193. [判] 依据配电安规，现场勘察后，现场勘察记录应送交工作负责人及相关各方，作为填写、签发工作票等的依据。对危险性、复杂性和困难程度较大的作业项目，应制订有针对性的施工方案。（ ） || 选:正确 / 错误 || 答:错误
194. [判] 依据配电安规，携带型短路接地线使用时，应先接导线端，后接接地端，接地线应接触良好、连接应可靠，拆除接地线的顺序与此相反，人体不准碰触未接地的导线。（ ） || 选:正确 / 错误 || 答:错误
195. [判] 依据配电安规，需要将高压线路、设备停电或做安全措施者，填用配电第一种工作票。（ ） || 选:正确 / 错误 || 答:正确
196. [判] 依据配电安规，一张配电工作票中，现场工作许可人与工作负责人不应相互兼任。（ ） || 选:正确 / 错误 || 答:错误
197. [判] 依据配电安规，用户侧设备检修，需电网侧设备配合停电时，停电操作前应得到用户停送电联系人的电话申请，并经批准。（ ） || 选:正确 / 错误 || 答:错误
198. [判] 依据配电安规，雨天在户外操作电气设备时，操作杆的绝缘部分应有防雨罩。防雨罩的上口应与绝缘部分紧密结合，无渗漏现象。（ ） || 选:正确 / 错误 || 答:正确
199. [判] 依据配电安规，雨雪天气室外设备宜采用间接验电；若直接验电，应使用户外型验电器，并戴手套。（ ） || 选:正确 / 错误 || 答:错误
200. [判] 依据配电安规，在配电线路、设备上进行公司系统的非电气专业工作（如电力通信工作等），不需要执行工作票制度。（ ） || 选:正确 / 错误 || 答:错误
201. [判] 依据配电安规，专责监护人监督被监护人员遵守本文件和执行现场安全措施，及时纠正被监护人员的不安全行为。（ ） || 选:正确 / 错误 || 答:正确
202. [判] 依据配电安规，装设、拆除接地线可不在监护下进行。（ ） || 选:正确 / 错误 || 答:错误
203. [判] 依据配电安规，装设接地线应先接导体端、后接接地端，拆除接地线的顺序与此相反。（ ） || 选:正确 / 错误 || 答:错误
204. [判] 依据配电安规，作业人员根据工作需要可以自行移动或拆除遮栏（围栏）、标示牌。（ ） || 选:正确 / 错误 || 答:错误
205. [判] 依据配电安规，作业人员应了解机具（施工机具、电动工具）及电力安全工器具相关性能，熟悉其使用方法。（ ） || 选:正确 / 错误 || 答:正确
206. [单] 根据营销安规规定，营销现场作业由营销服务人员进行的（  ）、电能计量、用电信息采集、用电检查、分布式电源作业、智能用电以及综合能源等现场工作。 || 选:事故紧急处理 / 现场勘查 / 竣工验收 / 业扩报装 || 答:D
207. [单] 根据营销安规规定，配电作业现场指（  ）及以下配电网中的架空线路、电缆线路及其附属设备等范围内进行工作的作业现场。 || 选:10kV / 35kV / 0.4kV / 20kV || 答:D
208. [单] 根据营销安规规定，严肃作业计划管控，健全计划管理组织体系和工作机制，严格执行作业风险公示要求，按照（  ）原则，在承载力范围内制定作业计划，将全部作业内容纳入计划管理。 || 选:“无计划、不作业” / “全覆盖、无死角” / “无计划、不作业”和“全覆盖、无死角” / “按计划、全覆盖” || 答:C
209. [单] 根据营销安规规定，严肃现场作业风险管控，严格到岗到位监督检查工作要求，严格履行关键风险点许可程序，加强“（  ）”安全检查，严肃处理各类现场违章。 || 选:四不两直 / 四不三直 / 三不两直 / 四不一直 || 答:A
210. [单] 作业人员对《国家电网有限公司营销现场作业安全工作规程（试行）》应（  ）考试一次。 || 选:每半年 / 每年 / 每两年 / 每三年 || 答:B
211. [单] 根据营销安规规定，作业现场的生产条件和（  ）等应符合有关标准、规范的要求，作业人员的劳动防护用品应合格、齐备。 || 选:生产设施 / 安全设施 / 办公设施 / 施工设施 || 答:B
212. [单] 根据营销安规规定，进入SF₆装置室，入口处若无SF₆气体含量显示器，应先通风（  ），并用检漏仪测量SF₆气体含量合格。 || 选:10min / 15min / 20min / 30min || 答:B
213. [单] 根据营销安规规定，在多电源和有自备电源的用户线路的（  ）处，应有明显断开点。 || 选:低压系统接入点 / 分布式电源接入点 / 高压系统接入点 / 产权分界点 || 答:C
214. [单] 根据营销安规规定，作业人员应被告知其作业现场和工作岗位存在的（  ）、防范措施及事故紧急处理措施。 || 选:逃生方法 / 危险因素 / 应急预案 / 技术措施 || 答:B
215. [单] 根据营销安规规定，营销作业现场工作负责人在转移工作地点时，应逐一向工作人员交代（  ）。 || 选:带电范围 / 安全措施 / 注意事项 / 以上都是 || 答:D
216. [单] 根据营销安规规定，工作班成员的变更，应经（  ）的同意，并在工作票上做好变更记录；中途新加入的工作班成员，应由工作负责人、专责监护人对其进行安全交底并履行确认手续。 || 选:工作负责人 / 工作票签发人 / 工作许可人 / 专责监护人 || 答:A
217. [单] 根据营销安规规定，营销作业现场对同一天、相同（  ）的多个低压营销作业现场的工作，可使用一张低压工作票。 || 选:技术措施 / 组织措施 / 安全措施 / 工作内容 || 答:C
218. [单] 在进行营销现场作业时，工作负责人应由有本专业工作经验、熟悉工作范围内的设备情况、熟悉《国家电网有限公司营销现场作业安全工作规程（试行）》，并经（  ）批准的人员担任，名单应公布。工作负责人还应熟悉工作班成员的技术水平。 || 选:安监部 / 营销部 / 发展部 / 调控中心 || 答:B
219. [单] 根据营销安规规定，低压线路、设备（不含在发电厂、变电站内的低压设备）上工作，不需要将高压线路、设备停电或做安全措施者须填用（  ）。 || 选:低压工作票 / 配电第二种工作票 / 配电第一种工作票 / 现场作业工作卡 || 答:A
220. [单] 营销作业现场《国家电网有限公司作业安全风险预警管控工作规范（试行）》根据可预见风险的可能性、后果严重程度，将作业安全风险分为（  ）。 || 选:一到五级 / 一到四级 / 一到三级 / 一到六级 || 答:A
221. [单] 根据营销安规规定，工作票签发人的安全责任不包括（  ）。 || 选:正确组织工作 / 确认工作必要性和安全性 / 确认工作票上所列安全措施正确完备 / 确认所派工作负责人和工作班成员适当、充足 || 答:A
222. [单] 根据营销安规规定，高压配电（含相关场所及二次系统）营销工作，与邻近带电高压线路或设备的距离大于规定安全距离，不需要将高压线路、设备停电或做安全措施者，应填用配电（  ）。 || 选:第一种工作票 / 第二种工作票 / 工作任务单 / 派工单 || 答:B
223. [单] 根据营销安规规定，在进行营销现场作业时，（1）确认工作必要性和安全性。（2）确认工作票上所列安全措施正确完备。（3）确认所派工作负责人和工作班成员适当、充足。是（  ）的安全责任。 || 选:工作票签发人 / 工作负责人 / 工作监护人 / 专责监护人 || 答:A
224. [单] 根据营销安规规定，工作票只能延期（  ）次。延期手续应记录在工作票上。 || 选:两 / 一 / 三 / 四 || 答:B
225. [单] 根据营销安规规定，现场勘察后，现场勘察记录应送交（  ）及相关各方，作为填写、签发工作票等的依据。 || 选:工作票签发人、工作许可人 / 工作许可人、工作负责人 / 工作票签发人、工作负责人 / 以上三种都对 || 答:C
226. [单] 根据营销安规规定，在进行营销现场作业时，同一变电站内在几个电气连接部分上依次进行不停电的同一类型的工作，可使用一张（  ）。 || 选:变电第一种工作票 / 配电第一种工作票 / 变电第二种工作票 / 配电第二种工作票 || 答:C
227. [单] 根据营销安规规定，以下不属于营销现场作业保证安全的组织措施的是（  ）。 || 选:现场勘察制度 / 工作间断、转移制度 / 停电 / 工作监护制度 || 答:C
228. [单] 根据营销安规规定，工作票应由工作票签发人审核，手工或（  ）签发后方可执行。 || 选:手写 / 他人 / 电子 / 机器 || 答:C
229. [单] 根据营销安规规定，在进行营销现场作业时，承、发包工程，工作票应实行（  ）。签发工作票时，双方工作票签发人在工作票上分别签名，各自承担相应的安全责任。 || 选:“零签发” / “单签发” / “双签发” / “三签发” || 答:C
230. [单] 根据营销安规规定，工作许可人应在完成工作票所列由其负责的（  ）和装设接地线等安全措施后，方可发出许可工作的命令。 || 选:停电 / 设置围栏 / 验电 / 开展安全许可 || 答:A
231. [单] 根据营销安规规定，现场勘察应由工作票签发人或工作负责人组织，工作负责人、（  ）和检修（施工）单位相关人员参加。 || 选:调度部门 / 设计单位 / 设备运维管理单位（含客户） / 设备单位 || 答:C
232. [单] 根据营销安规规定，营销作业现场许可开始工作的命令采用（  ）时，工作许可人和工作负责人应在工作票上记录许可时间，并分别签名。 || 选:手机许可 / 短信许可 / 当面许可 / App许可 || 答:C
233. [单] 根据营销安规规定，营销作业现场工作许可后，工作负责人、专责监护人应向（  ）交代工作内容、人员分工、带电部位和现场安全措施，告知危险点，并履行签名确认手续，方可下达开始工作的命令。 || 选:监理单位 / 施工方负责人 / 外包队伍安全负责人 / 工作班成员 || 答:D
234. [单] 根据营销安规规定，在进行营销现场作业时，工作负责人、专责监护人应（  ）在工作现场。 || 选:负责布置远程监控 / 协商留一人 / 留至少一人 / 始终 || 答:D
235. [单] 根据营销安规规定，营销作业现场工作间断时，若工作班离开工作地点，应采取措施或派人看守，不让人、畜接近（  ）。 || 选:施工设备 / 施工材料 / 工作地点 / 停电范围 || 答:C
236. [单] 根据营销安规规定，营销作业现场工作间断时，工作班离开工作地点，若（  ），恢复工作前应重新验电、装设接地线。 || 选:接地线保留不变 / 接地线临时移动 / 个人保安线保留不变 / 接地线拆除 || 答:D
237. [单] 根据营销安规规定，对难以做到与电源完全断开的检修线路、设备，可（  ）其与电源之间的电气连接。 || 选:断开 / 拆除 / 隔离 / 拉开 || 答:B
238. [单] 根据营销安规规定，作业人员应在（  ）的保护范围内作业。禁止在无接地线或接地线装设不齐全的情况下进行作业。 || 选:工作票 / 接地线 / 保护线 / 围栏 || 答:B
239. [单] 根据营销安规规定，不能采取相应安全措施的交叉跨越、平行或同杆（塔）架设（  ），可能危及营销现场作业安全。 || 选:线路 / 电缆 / 低压电缆 / 低压线路 || 答:A
240. [单] 根据营销安规规定，营销（  ），接地前，应使用相应电压等级的接触式验电器或测电笔，在装设接地线或合接地刀闸处逐相分别验电。 || 选:现场作业 / 计量现场作业 / 停电作业 / 现场停电作业 || 答:D
241. [单] 根据营销安规规定，下面说法不正确的是（  ）。 || 选:安装、拆接地线，应做好记录，交接班时应交代清楚 / 禁止作业人员擅自变更工作票中指定的接地线位置 / 若需变更接地线位置时，应由工作负责人征得全部工作票签发人或工作许可人同意，并在工作票上注明变更情况 / 作业人员可以擅自变更工作票中指定的接地线位置 || 答:D
242. [单] 根据营销安规规定，下面说法不正确的是（  ）。 || 选:在一经合闸即可送电到工作地点的断路器（开关）和隔离开关（刀闸）的操作处或机构箱门锁把手上及熔断器操作处，应悬挂“禁止分闸，有人工作！”标示牌 / 工作地点有可能误登、误碰的邻近带电设备，应根据设备运行环境悬挂“止步，高压危险！”等标示牌 / 在工作地点或检修的配电设备上悬挂“在此工作！”标示牌 / 由于设备原因，接地刀闸与检修设备之间连有断路器（开关），在接地刀闸和断路器（开关）合上后，在断路器（开关）的操作处或机构箱门锁把手上，应悬挂“禁止分闸！”标识牌。 || 答:A
243. [单] 根据营销安规规定，对无法（  ）的设备，应间接验电，即通过设备的机械位置指示、电气指示、带电显示装置、仪表及各种遥测、遥信等信号的变化来判断。 || 选:直接验电 / 间接验电 / 验电 / 高压验电 || 答:A
244. [单] 根据营销安规规定，低压公共区域（计量箱等）仅涉及个别设备、（  ）停电的工作，应先断开负荷侧开关，再断开电源侧总开关。 || 选:箱体内进线总开关 / 箱体内 / 开关 / 分支箱内 || 答:B
245. [单] 根据营销安规规定，在城区、（  ）或交通道口和通行道路上施工时，工作场所周围应装设遮栏（围栏），并在相应部位装设警告标示牌。 || 选:山区 / 郊区 / 有人区域 / 人口密集区 || 答:D
246. [单] 根据营销安规规定，在高压设备电能表、采集终端等及其二次回路上工作需将高压设备停电或做安全措施者，应填用（  ）。 || 选:二次工作安全措施票 / 变电第二种工作票 / 变电第一种工作票 / 低压工作票 || 答:C
247. [单] 根据营销安规规定，在继电保护装置、安全自动装置及自动化监控系统、电能计量装置屏（柜）上或附近进行打眼等（  ）较大的工作时，应采取防止运用中设备误动作、二次回路开路或短路的措施，必要时向调控中心申请，经值班调控人员或运维负责人同意，将保护暂时停用。 || 选:工作量 / 振动 / 噪音 / 幅度 || 答:B
248. [单] 根据营销安规规定，在电流互感器与短路端子之间导线上进行任何工作，应有严格的安全措施，并填用（  ）。 || 选:现场作业工作卡 / 变电第一种工作票 / 配电第一种工作票 / 二次工作安全措施票 || 答:D
249. [单] 根据营销安规规定，接临时负载，应装设专用的刀闸和（  ）。 || 选:开关 / 隔离开关（刀闸） / 跌落保险 / 熔断器 || 答:D
250. [单] 根据营销安规规定，校验电能表、电压互感器、电流互感器的作业人员，不准对运用中的非计量设备、信号系统、保护压板进行操作，禁止在（  ）与工作无关的检修断路器（开关）。 || 选:变电站内操作、拉合 / 变电站外操作、拉合 / 变电站内操作、检修 / 变电站外操作、检修 || 答:A
251. [单] 根据营销安规规定，电能计量装置的二次回路变动时，应按经（  ）进行，工作前应隔离无用的接线，防止误拆或产生寄生回路。拆开的线头应采取绝缘包裹，或者整条二次线拆除清理。 || 选:批准方案 / 经审批后的图纸 / 工作负责人审核 / 领导审核 || 答:B
252. [单] 根据营销安规规定，高压试验与测量工作，因校验需要断开设备接头时，拆前应做好标记，接后应进行（  ）。 || 选:恢复 / 检查 / 汇报 / 记录 || 答:B
253. [单] 根据营销安规规定，校验现场应装设（  ），遮栏或围栏与校验设备高压部分应有足够的安全距离，向外悬挂“止步，高压危险！”的标识牌，并派人看守。 || 选:遮栏 / 围栏 / 遮栏或围栏 / 标识牌 || 答:C
254. [单] 根据营销安规规定，非金属外壳的仪器，应与地绝缘，金属外壳的仪器和变压器外壳应（  ）。 || 选:接地 / 短路 / 固定 / 隔离 || 答:A
255. [单] 根据营销安规规定，测量低压熔断器和水平排列低压母线电流时，测量前应将各相熔断器和母线用绝缘材料加以包护隔离，以免引起（  ），同时应注意不得触及其他带电部分。 || 选:二次侧开路 / 二次侧短路 / 相间短路 / 相对地短路 || 答:C
256. [单] 根据营销安规规定，柱上变压器台架工作，应先断开低压侧断路器、隔离开关（刀闸），再断开变压器台架的高压线路的隔离开关（刀闸）或跌落式熔断器，高低压侧（  ）后，方可工作。 || 选:停电 / 验电、接地 / 绝缘遮蔽 / 隔离 || 答:B
257. [单] 根据营销安规规定，柱上变压器台架工作，人体与高压线路和跌落式熔断器上部带电部分应（  ）。 || 选:做好间隔措施 / 穿戴绝缘服进行工作 / 采用带电方式进行作业 / 保持安全距离 || 答:D
258. [单] 根据营销安规规定，在带电设备周围使用工器具及搬动梯子、管子等长物，应满足（  ）要求。 || 选:安全距离 / 作业人数 / 现场有专人监督 / 工器具管理 || 答:A
259. [单] 根据营销安规规定，（  ）不应视为绝缘设备，作业人员或非绝缘工器具、材料不得直接接触或接近。 || 选:电缆导线 / 架空绝缘导线 / 未接入电源的变压器 / 架空裸铝导线 || 答:B
260. [单] 根据营销安规规定，在停电检修作业中，（  ）绝缘导线前，应做好防感应电的安全措施。 || 选:开断或接入 / 断开 / 临时断开 / 临时接入 || 答:A
261. [单] 根据营销安规规定，在全部或部分带电的运行屏（柜）上工作，应（  ）。 || 选:将检修设备与运行设备以明显的标志隔开 / 加派专责监护人进行专项监护 / 严格执行工作安全交底 / 在工作票的备注栏注明带电部分 || 答:A
262. [单] 根据营销安规规定，高压试验的（  ）和测量仪器应符合试验和测量的安全要求。 || 选:运行设备 / 试验装置 / 检修设备 / 试验期限 || 答:B
263. [单] 根据营销安规规定，现场工作开始前，应检查确认已做的安全措施符合要求、运行设备和检修设备之间的（  ）正确完成。 || 选:间隔措施 / 遮蔽措施 / 验电接地 / 隔离措施 || 答:D
264. [单] 根据营销安规规定，低压电气工作前，应用测试良好的（  ）检验检修设备、金属外壳和相邻设备是否有电，任何未经验电的设备均视为带电设备。 || 选:低压验电器 / 低压验电器或测电笔 / 测电笔 / 验电器 || 答:B
265. [单] 根据营销安规规定，非运维人员进行的低压测量工作，应填用营销（  ）工作票。 || 选:低压配电设备 / 低压 / 低压侧 / 低压带电 || 答:B
266. [单] 根据营销安规规定，低压带电作业使用的工具，必须（  ）良好，连接牢固，转动灵活。 || 选:绝缘 / 全部绝缘 / 部分绝缘 / 绝缘包扎 || 答:B
267. [单] 根据营销安规规定，低压带电作业时，作业范围内电气回路的（  ）应投入运行。 || 选:电动保护装置 / 电器保护装置 / 漏电保护装置 / 剩余电流动作保护装置 || 答:D
268. [单] 根据营销安规规定，对有触电危险、检修（施工）复杂，容易发生事故的工作，应增设（  ），并确定其监护的人员和工作范围。 || 选:工作负责人 / 安全员 / 有一定工作经验的人员 / 专责监护人 || 答:D
269. [单] 根据营销安规规定，当发现低压（  ）、金属计量箱箱体带电时，应断开上一级电源，查明带电原因，并做相应处理。 || 选:配电柜 / 配电箱 / 配电装置 / 配电设备 || 答:B
270. [单] 根据营销安规规定，低压带电作业时，应采取绝缘隔离措施防止相间短路和（  ）接地；若无法采取绝缘隔离时，则将影响作业的有电设备停电。 || 选:单相 / 逐相 / 每相 / 以上都是 || 答:A
271. [单] 根据营销安规规定，对有触电危险、检修（施工）复杂，容易发生事故的工作，应增设（  ），并确定其监护人员和监护范围。 || 选:工作负责人 / 工作许可人 / 专责监护人 / 工作班成员 || 答:C
272. [单] 根据营销安规规定，作业人员应了解机具（电动工具）及安全工器具（  ），熟悉其使用方法。 || 选:相关参数 / 相关性能 / 技术指标 / 绝缘要求 || 答:B
273. [单] 根据营销安规规定，机具在运行中不得进行（  ）。禁止在运行中或未完全停止的情况下清扫、擦拭机具的转动部分。 || 选:检修 / 调整 / 检修或调整 / 检修和调整 || 答:C
274. [单] 根据营销安规规定，关于成套接地线，下列说法错误的有哪些？（  ） || 选:接地线的两端夹具应保证接地线与导体和接地装置都能接触良好、拆装方便 / 有足够的机械强度 / 在小短路电流通过时不致松脱 / 使用前应检查确认完好，禁止使用绞线松股、断股、护套严重破损、夹具断裂松动的接地线 || 答:C
275. [单] 根据营销安规规定，关于机具、安全工器具说法错误的是（  ）。 || 选:现场使用的机具应经检验合格 / 现场使用的安全工器具应经检验合格 / 现场使用的机具、安全工器具只要具有出厂合格证即可使用 / 机具的各种监测仪表以及制动器、限位器、安全阀、闭锁机构等安全装置应完好 || 答:C
276. [单] 根据营销安规规定，高处作业应使用（  ）。上下传递材料、工器具应使用绳索；邻近带电线路作业的，应使用绝缘绳索传递，较大的工具应用绳拴在牢固的构件上。 || 选:工具袋 / 绝缘手套 / 线手套 / 绝缘梯 || 答:A
277. [单] 根据营销安规规定，低温或高温环境下的高处作业，应采取（  ）措施，作业时间不宜过长。 || 选:保暖或防暑降温 / 保暖 / 防暑降温 / 专人监护 || 答:A
278. [单] 根据营销安规规定，（  ）及以上的高处作业应使用安全带。 || 选:1.5m / 2m / 2.5m / 3m || 答:B
279. [单] 根据营销安规规定，在杆塔上使用梯子，应将两端与固定物（  ），一般应由一人在其上作业。 || 选:可靠连接 / 可靠捆绑 / 可靠焊接 / 可靠拼接 || 答:A
280. [单] 根据营销安规规定，营销服务场所应依据有关规定和技术标准配置必要的消防设施、器材，并按照（  ）的原则加强管理。 || 选:“谁使用，谁负责” / “谁购买，谁负责” / “谁主管，谁负责” / “谁监督，谁负责” || 答:A
281. [单] 根据营销安规规定，营销服务场所应保障疏散通道、安全出口畅通，并设置消防安全疏散指示标志和（  ）设施。 || 选:应急照明 / 应急逃生 / 应急躲避 / 畅通疏散 || 答:A
